activity_final,type_final,species_final,age_final,injury_final,final_date,country,state,location,sex
surfing,unprovoked,white shark,39.0,injured,2026-03-18,usa,california,big river beach mendocino county,M
swimming,unprovoked,other shark,,injured,2026-03-14,australia,western australia,exmouth,F
other,unprovoked,white shark,,other,2026-03-10,australia,western australia,exmouth,M
diving,unprovoked,other,,injured,2026-03-05,australia,queensland,lady elliott island,M
other,unprovoked,bull shark,55.0,other,2026-02-22,new caledonia,noumea,anse vata near point magnin,M
diving,unprovoked,tiger shark,,other,2026-02-06,cayman islands,little cayman island,caribbean sea,M
swimming,unprovoked,tiger shark,13.0,other,2026-01-29,brazil,recife,del chifre beach in olinda,M
surfing,unprovoked,other,,no injury,2026-01-29,australia,nsw,angels beach east ballina,M
swimming,unprovoked,other shark,,other,2026-01-24,australia,tasmania,cooee beach west of burnie,F
surfing,unprovoked,bull shark,39.0,other,2026-01-20,australia,nsw,point plomber north of port macquarie,M
surfing,unprovoked,bull shark,11.0,other,2026-01-19,australia,nsw,dee why,M
surfing,unprovoked,other shark,27.0,injured,2026-01-19,australia,nsw,north steyne,M
other,unprovoked,bull shark,12.0,injured,2026-01-18,australia,nsw,nielsen park vaucluse sydney harbour,M
surfing,unprovoked,other,26.0,other,2026-01-13,usa,california,mendocino county,M
surfing,unprovoked,other,,other,2026-01-10,australia,nsw,avalon beach,M
diving,unprovoked,other,56.0,other,2026-01-08,us virgin islands,fredricksted island st croix,dorsch beach,F
diving,unprovoked,other,,other,2026-01-05,mozambique,inhambe province,vilanculous district,M
diving,provoked,other,,injured,2026-01-03,new caledonia,kélé,between bourail and moindou,M
other,unprovoked,other,,other,2025-12-25,mozambique,inhambe province,prainha,
diving,unprovoked,white shark,,other,2025-12-21,australia,western australia,ocean reef north perth,M
swimming,unprovoked,white shark,55.0,injured,2025-12-21,usa,california,lovers point pacific grove,F
surfing,unprovoked,white shark,,injured,2025-12-12,usa,sonoma county california,salmon creek,M
other,provoked,other shark,24.0,injured,2025-12-09,usa,hawaii west coast big island,"ka'alu""alu beach",M
swimming,unprovoked,bull shark,26.0,injured,2025-11-27,australia,nsw,crowdy bay,M
swimming,unprovoked,bull shark,25.0,other,2025-11-27,australia,nsw,crowdy bay,F
other,unprovoked,white shark,61.0,no injury,2025-11-10,australia,western australia,prevelly beach magaret river,M
swimming,unprovoked,other shark,40.0,other,2025-11-09,french polynesia,marquesas islands,hakahau bay,M
swimming,unprovoked,other,,injured,2025-11-05,usa,hawaii,pine trees hanalei bay kaui,M
fishing,unprovoked,other,,injured,2025-11-05,usa,texas,matagorda beach matagorda,M
surfing,unprovoked,tiger shark,13.0,injured,2025-11-04,samoa,,aga reef resort lalomanu,M
other,unprovoked,other shark,14.0,injured,2025-10-14,columbia,"bolivar, del isolate",catagena province,M
other,unprovoked,bull shark,14.0,injured,2025-10-11,australia,queensland,cook esplanade thursday island,M
surfing,unprovoked,other,,injured,2025-10-07,australia,south australia,kangaroo island,M
swimming,unprovoked,other shark,54.0,injured,2025-09-29,usa,off california,catalina island,M
other,provoked,tiger shark,48.0,other,2025-09-27,costa rica,,cocos islands,M
surfing,unprovoked,white shark,57.0,other,2025-09-06,australia,nsw,long reef sydney,M
diving,unprovoked,other,8.0,injured,2025-09-01,usa,florida,horseshoe reef key largo,M
swimming,unprovoked,other,8.0,injured,,usa,texas,galveston,F
surfing,unprovoked,other,,other,,australia,nsw,cabarita beach,M
fishing,unprovoked,other,63.0,injured,,bahamas,atlantic ocean near big grand cay,north of grand bahama near freeport,M
fishing,provoked,other shark,,injured,,usa,florida,cayo costa boca grande,M
surfing,unprovoked,other,9.0,other,,australia,nsw,tathra beach,M
swimming,unprovoked,other,39.0,injured,,puerto rico,carolina,carolina beach,F
other,unprovoked,white shark,19.0,no injury,2025-07-28,australia,south australia,seacliff beach adelaide,M
swimming,unprovoked,other,7.0,injured,2025-07-25,french polynesia,nuku hiva,taiohae bay,M
swimming,unprovoked,other,85.0,other,2025-07-22,spain,majorca,playa de palma beach,F
other,unprovoked,other,,injured,2025-07-20,canary islands,fuerteventura,los mollinas,M
diving,unprovoked,other shark,69.0,injured,2025-07-19,usa,florida,jupiter inlet off jupiter beach palm beach county,M
surfing,unprovoked,other,18.0,injured,2025-07-18,usa,florida,new smyrna beach,M
fishing,unprovoked,bull shark,66.0,injured,2025-07-15,bahamas,great abaco islands,spanish cay,M
fishing,provoked,other,21.0,injured,2025-07-06,usa,massachusetts,hoicks hollow nantucket beach,M
surfing,unprovoked,other shark,40.0,injured,2025-07-06,usa,florida,new smyrna beach,M
fishing,unprovoked,other,37.0,injured,2025-07-04,south africa,kwazulu-natal,mfazazana hibberdene,M
swimming,unprovoked,bull shark,16.0,injured,2025-06-29,australia,nsw,norries headland cabarita beach,M
swimming,unprovoked,tiger shark,20.0,injured,2025-06-25,usa,long island ny,wantagh,F
swimming,unprovoked,other shark,,injured,2025-06-22,usa,south carolina,coligny beach hilton head island,F
swimming,unprovoked,other,12.0,injured,2025-06-17,usa,south carolina,beach marker 24 hilton head island,F
diving,unprovoked,bull shark,9.0,other,2025-06-11,usa,florida,boca grande,F
surfing,unprovoked,other,42.0,no injury,2025-05-31,usa,california,montara state beach,M
swimming,unprovoked,other,26.0,other,2025-05-29,usa,north carolina,sunset beach,M
swimming,unprovoked,other,14.0,injured,2025-05-26,vanuatu,south santo,espiitu santo island,M
swimming,unprovoked,other,66.0,injured,2025-05-15,australia,south australia,port noarlunga,M
other,unprovoked,other shark,26.0,injured,2025-05-08,jamaica,montego bay,rose hall beach,F
diving,unprovoked,other shark,45.0,other,2025-04-21,israel,hadera,olga beach near hadera stream,M
other,other,other,20.0,other,2025-04-20,mexico,quntana roo,chac mool beach cancun,M
diving,unprovoked,other,30.0,injured,2025-04-19,maldives,kulhudhuffushi city,haa dhaalu atoll,M
other,unprovoked,other,,injured,2025-04-12,usa,florida,everglades national park flamingo lodge highway west miami-dade (monroe county),M
swimming,unprovoked,tiger shark,,other,2025-03-26,australia,wa,sandtrax port beach north fremantle perth,M
surfing,unprovoked,white shark,37.0,other,2025-03-10,australia,wa,duke of orleans bay,M
swimming,unprovoked,bull shark,56.0,injured,2025-03-07,australia,nsw,gunyah beach bundeena port hacking,F
swimming,unprovoked,other,,injured,2025-02-27,australia,victoria,nuns beach near portland,M
diving,other,other,29.0,other,,philippines,batangas resort,verde island,M
other,unprovoked,other,35.0,other,2025-02-22,australia,western australia,blasck wall reach swan river perth,F
other,other,other shark,58.0,other,2025-02-22,australia,nsw,off port stephens near newcastle,M
diving,unprovoked,other,29.0,injured,2025-02-22,australia,queensland,the wrecks walking track moreton island,M
swimming,unprovoked,bull shark,24.0,injured,2025-02-10,bahamas,,bimini bay,F
swimming,unprovoked,bull shark,20.0,other,2025-02-10,bahamas,,bimini bay,F
swimming,unprovoked,bull shark,55.0,injured,2025-02-07,turks and caicos,near five cays settlement west caicos,thompson cove beach,F
swimming,unprovoked,bull shark,17.0,injured,2025-02-03,australia,queensland,"woorim beach, bribie island,",F
swimming,unprovoked,other,12.0,injured,2025-01-23,australia,western australia,shipwreck cove,M
surfing,unprovoked,other,37.0,injured,2025-01-22,australia,western australia,cheynes beach,M
fishing,unprovoked,other,36.0,other,2025-01-03,mozambique,inhambane province,vilankulo bay,M
